   
lumi event photon_et photon_ph
213158 97242951 -1.795654 -1.737548
279763 127627652 -0.015815 -0.740112
520924 237645565 -0.437805 -0.875732
326395 148901174 1.2480468 0.0670928
125601 57298771 1.0966796 -2.422363
297196 135580970 1.1350097 1.7141113
488072 222658213 -0.722290 0.3516235
1058215 482757815 -1.640380 1.3784179
1241908 566558448 -1.622558 -0.814453
163515 74595466 0.4202880 2.8374023
1291641 589246483 -0.227386 -2.625488
738394 336855402 0.1079864 -2.363281
972037 443443524 -1.439453 -2.449218
1254125 572132041 1.2131347 0.2157592
979743 446958465 -0.838623 1.6086425
1278079 583059952 -0.959838 -2.543945
1189421 542613455 -0.577636 1.4548339
1233867 562890130 -1.124511 1.6171875
1140027 520080358 -0.644042 0.3517456
1131221 516063046 -1.406494 2.3134765
1070047 488155254 0.9997558 -0.817260
290384 132473128 0.9644775 1.7819824
117658 53675747 1.1594238 -0.510009
217384 99170386 1.3645019 -2.059570
1112416 507483963 -0.825683 2.5957031
886759 404539732 -1.431396 2.5927734
1319528 601968929 1.3430175 1.3547363
249813 113964659 1.3298339 -1.408203
286354 130634381 1.2097168 -2.819335
352706 160904673 -1.964111 -1.829345
1202292 548485224 -1.028564 -1.427490
1138937 519583026 -0.779541 3.0053710
1027767 468867330 -1.183349 1.1801757
1064682 485707572 1.1333007 -1.884277
614299 280243194 -0.251159 -0.231933
1211973 552902040 -0.631225 0.8143310
435067 198477537 -1.913818 2.6655273
962427 439059469 -0.860961 1.4597168
415681 189633551 -0.997436 1.7072753
508314 231892706 0.6405029 -2.495117
1121561 511655680 -0.222534 2.4912109
449269 204956589 2.0600585 0.6717529
1128777 514948036 -1.747314 -1.041015
31558 14396863 1.5354003 2.9975585
227302 103695039 -1.199218 2.8164062
137722 62828445 1.2702636 1.7707519
144528 65933564 1.2294921 1.0776367
71319 32535646 -1.966552 -0.927246
1046221 477286048 1.9633789 -2.253417
934631 426378394 -1.915283 -2.775390
1350489 616093019 1.2067871 -0.862915
644132 293852902 -2.140136 0.2177124
207886 94837502 -0.116821 -1.603271
680887 310620724 -2.079101 -0.322875
411201 187589589 0.5465087 -2.597167
790641 360690062 -0.917236 1.0681152
1131141 516026126 -1.378173 0.2334289
814346 371504566 -2.049316 0.3535156
830719 378973994 -1.776855 -0.138122
596407 272081079 0.5367431 0.9739990
38892 17742379 -0.033149 0.2940673
67155 30636162 -0.425354 0.5371093
235357 107369985 1.5952148 -0.349426
476204 217244177 1.4201660 0.4262695
273999 124998688 -0.990356 3.0395507
36475 16639762 -1.145996 1.2468261
614535 280351039 0.9906005 2.2563476
737547 336468833 2.2895507 -1.034667
107224 48915460 0.0451126 -3.038574
683695 311901845 1.5715332 0.5081787
976212 445347625 0.7954101 2.6953125
1300786 593418628 0.5250244 -1.096679
170549 77804602 1.0144043 -1.108886
1078299 491920190 -1.802001 -1.884765
588417 268435744 -0.540283 0.8691406
923023 421083141 0.6520996 -1.764160
964835 440157531 0.8415527 1.0183105
769828 351195444 -0.548217 2.0415039
573029 261416215 -1.746582 -1.598632
624862 285062023 0.2550048 0.0300102
733574 334656147 1.7072753 -0.021602
596906 272308684 1.9470214 0.5258789
1109226 506028794 1.3129882 0.8095703
1052613 480201911 -0.215332 1.7309570
1047236 477749171 0.2685546 -0.819946
1060279 483699327 2.0024414 -2.970214
1196521 545852912 -0.627563 -1.819091
1186025 541064524 0.5698242 0.0931396
1085556 495230705 -2.321289 2.9736328
1133334 517027136 2.1655273 -0.280822
1245942 568398426 1.7846679 -1.876464
1280652 584233152 -1.602050 2.8603515
1261465 575480318 1.1994628 0.0578384
254968 116316387 -1.629150 0.0847625
228388 104190802 0.1799621 -0.020103
218022 99461699 2.1152343 1.6337890
692575 315952437 -2.367187 0.5704345
63461 28950629 2.3911132 -1.935791
69719 31805809 2.5 0.2653808
163238 74469056 1.0043945 1.5588378
368223 167983033 2.0986328 2.0927734
576562 263027645 1.1818847 -0.319396
721456 329128135 -0.365295 -2.293457
300598 137132963 -2.242675 3.1108398
1071363 488755758 2.3740234 -1.765380
39869 18188577 -0.876098 0.3547363
929436 424008626 -1.823974 2.4418945
487539 222415261 -1.195068 0.4319458
632001 288318700 -1.954589 1.0239257
51515 23500996 2.2485351 2.3784179
444552 202804580 -0.346130 1.4460449
736614 336043347 1.5964355 2.7993164
675096 307978576 -0.395568 0.6740722
290174 132377468 0.6490478 1.375
1081915 493569443 2.5283203 -1.603515
124460 56778616 -0.942382 -2.678222
1325107 604513658 -0.650878 -1.811767
1341736 612099740 1.4016113 1.8225097
1013777 462485109 -1.660644 0.5301513
10765 4910723 1.6044921 -2.147949
18923 8632364 1.9206543 -2.224609
538225 245538293 -0.364562 -2.53125
1187 541605 1.7714843 0.9742431
1246 568469 -0.919921 -0.138488
641214 292521645 1.5996093 0.5363769
85588 39045105 -0.667724 -2.492675
499498 227870886 0.0349349 -0.287658
656918 299686324 -1.020751 -0.270874
30384 13861070 2.4243164 -1.015380
168175 76721585 0.2024230 1.5036621
742194 338588914 2.1005859 -1.919189
115560 52718466 -1.780029 -2.346679
45485 20750253 2.0698242 -1.847656
57027 26015727 0.7261962 3.0932617
122385 55831792 0.1422424 2.3979492
78433 35780893 -0.549072 1.6293945
91025 41525788 -1.015625 -2.118652
629316 287093973 0.8988037 -1.476806
1281066 584422226 -0.094116 -1.322753
819073 373660759 -1.224121 2.171875
902359 411656411 -1.817871 -1.035400
1322459 603305752 -1.260253 2.9985351
660987 301542299 -1.192382 2.7514648
703037 320725320 -0.991821 3.0708007
852401 388865258 -0.118453 -1.381103
862778 393599182 -1.570800 0.3231201
919424 419441355 -0.716552 -0.635498
1027053 468541399 -0.901123 -0.827392
454016 207122222 0.9255371 -1.397460
430541 196412835 -0.401855 -2.923339
1027105 468565157 -1.188232 -1.559570
739895 337540240 -1.205078 0.6973876
777977 354913149 1.3381347 1.5451660
594574 271244677 -0.407165 -0.348937
720606 328740229 0.5571289 -1.094482
861839 393171193 1.2963867 0.1648864
562531 256626254 0.8270263 -0.377685
773276 352768418 0.5731201 2.8808593
697505 318201526 -1.410888 -0.253784
1280254 584051563 -1.001708 -0.138610
1025252 467719740 1.7966308 1.8559570
1108093 505511836 2.3149414 -2.708496
719498 328235114 -1.666015 -1.511474
820188 374170055 1.3371582 0.6674804
558541 254806411 1.7275390 -0.504150
1273387 580918989 1.8339843 2.7929687
388064 177034609 0.7642822 2.2138671
277572 126628268 -1.337890 2.0229492
171809 78379407 1.3901367 1.6276855
1214907 554240444 0.5645751 1.2946777
243236 110964443 -1.333496 -1.604248
553049 252301057 -2.006347 -1.021972
154089 70295770 -1.298095 -2.776367
277313 126509898 -1.725341 -1.109863
138528 63196679 -1.813476 -0.482421
1340234 611414511 -0.052932 -1.214599
30197 13776120 -0.547363 0.8076171
189425 86415514 1.9831543 3.0185546
559144 255081539 2.1552734 1.6057128
564219 257396892 1.3291015 -2.395507
180928 82539595 1.0168457 1.1462402
523438 238792673 0.1016540 -2.868652
1154701 526774388 1.7136230 -2.024414
536585 244790167 2.4394531 2.6274414
147122 67117121 1.8791503 -0.655029
329008 150093469 1.4057617 3.0400390
144554 65945511 -0.378662 1.5178222
267371 121974588 0.3490600 -2.589355
1023022 466702662 2.2280273 3.1137695
98772 45059650 -0.978515 1.0686035
277625 126652350 0.4761962 -0.496826
371476 169467497 1.6520996 2.1123046
135764 61935619 2.0043945 0.4595947
6259 2855534 1.7868652 -0.312133
